public_total_salary_wage,privateprofit_total_salary_wage,private_nonprofit_total_salary_wage
24193699,1580005,117842000
7764789,756875,8903411
6138367,255784,61187566
3548888,7030795,49389989
20714986,537510,5839574
15505555,586766,7156722
29007186,765566,35970217
16172458,5881862,68691000
130651309,4854746,4488184
7768844,625571,24872464
8658758,1109464,2788611
15187468,1066368,6955900
151518401,497015,3278012
152647262,403006,1145127
93825253,474741,514976
143464157,318153,1980456
109436169,1195274,1017416
178448666,923879,1497128
138856415,174674,129956000
66426446,5683871,1811389
207175522,2911219,738084
116040090,276546,10323577
112913061,2454213,10971751
131798369,3454848,5498106
107304674,4460069,7355802
66543701,1338268,4265586
115070569,724408,61294285
158376465,22853605,13549680
108891333,1262452,12915972
16747699,571116,55772287
66354950,767722,2264009000
34977078,71940,89711205
56620951,8920000,31060796
111280707,2730468,7236726
22069676,2769592,15792108
11571221,563807,429003
17355784,7184694,43790108
10697174,1600529,886544
48051603,5169004,17884298
22245118,2607418,7108014
15382737,3724583,19242369
867021,357672,11194518
27126469,215931,5790092
68225820,699107,12075900
124865189,214017,978707
22619945,1275092,22620874
6254434,463038,23209248
46289222,6143168,7668760
35379657,3120344,17004652
190805,232112,12162445
32997576,142340,7076239
12651059,7841075,11638991
60068464,19460499,26248836
8342330,340412,1822909
27313351,117556,9976515
24309714,539809,12043992
22941544,2347201,13788670
22759771,1660935,7090150
57575877,134048,12365853
25529978,3738996,700021000
214243015,28039,10611880
182122321,17528000,1320412
443285731,183888,29284950
963205309,577956,118154
33291006,1737208,10161275
75741038,675725,30447354
67065440,256853,1986613
90306289,2367897,5390480
57805958,1132018,10329718
45869195,2642822,399986
47130547,1337257,1934479
67878805,27000,44249772
55386287,1664354,2287469
68476947,8950,3532608
41187189,1350225,43805654
47068873,1463127,9575855
22694229,34000,31159502
35249644,835748,343755737
52663339,4356049,34468829
368103130,63459,936582
59590832,6066770,1959385
20914500,485053,4969132
409192540,376015,5743897
18193987,771673,665548
12336070,3456285,14939904
25486947,1206742,8390021
146078475,1703570,10921339
65933358,863289,12840524
10435638,31857,183445000
12751075,1358460,7048317
172929470,929641,44878600
25454935,608039,39628184
8907550,3243014,33594000
6664374,233372,1107592
11992333,284200,5028518
12515212,2375463,18874043
16308418,3905057,11414525
38363593,310501,13041006
9204950,2031901,3100938
21053963,2599176,42913112
24142541,482356,40475912
83463334,2665973,8250610
12762168,2024420,8094405
18717722,1091926,11788820
13083541,382636,13155721
16647893,128757,16769414
23326513,5102679,10084336
416899616,1461018,2914481
11333098,195247,9035929
21669495,90591,23257771
46138523,369601,13400501
48514489,145311,22053987
39563710,1081753,18343028
26681487,372040,13012760
42316202,736945,19238076
7879040,790492,75728718
9514316,1742904,14408852
11293675,2074522,37557076
6746623,2152604,790277
18906269,1081303,26693453
17488824,1832638,30068400
5650870,1126236,920203
